RunID, LON, LAT, Mukey, MUSYM, COMPNAME, MUNAME, TEXTURE, SLOPE_R, NIRRCAPCL, NIRRCAPSCL, NIRRCAPUNIT, RSPROD_L, RSPROD_R, RSPROD_H, COKEY, Year, Yield_T_HA, Biomass_T_HA, ET_mm, MX_HU, HarvMoDay, WUE
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2021, 0.02, 0.03, 141.19, 220, , 0.002249719
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2022, 0.11, 0.15, 141.19, 220, , 0.01237345
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2023, 0.01, 0.02, 141.19, 85, , 0.001124859
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2024, 0.07, 0.1, 171.46, 220, , 0.00729927
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2025, 0.03, 0.03, 171.46, 220, , 0.003128259
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2026, 0.12, 0.16, 171.46, 220, , 0.01251303
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2027, 0.03, 0.04, 171.46, 165, , 0.003128259
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2028, 0.1, 0.14, 156.98, 220, , 0.008431703
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2029, 0.03, 0.04, 156.98, 220, , 0.002529511
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2030, 0.14, 0.19, 156.98, 220, , 0.01180438
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2031, 0.01, 0.02, 156.98, 129, , 0.0008431703
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2032, 0.07, 0.09, 138.36, 220, , 0.007559395
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2033, 0.03, 0.04, 138.36, 220, , 0.003239741
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2034, 0.1, 0.14, 138.36, 220, , 0.01079914
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2035, 0.02, 0.04, 138.36, 172, , 0.002159827
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2036, 0.1, 0.15, 126.97, 220, , 0.009727626
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2037, 0.03, 0.04, 126.97, 220, , 0.002918288
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2038, 0.11, 0.15, 126.97, 220, , 0.01070039
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2039, 0.03, 0.04, 126.97, 175, , 0.002918288
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2040, 0.08, 0.11, 150.23, 220, , 0.01147776
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2041, 0.04, 0.05, 150.23, 220, , 0.005738881
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2042, 0.11, 0.15, 150.23, 220, , 0.01578192
12, -119.3526, 46.7499, 68302, WfB2, Warden, Warden fine sandy loam 2 to 5 percent slopes eroded, FSL, 4, 6, e, 0, 0, 0, 0, 23874641, 2043, 0.03, 0.04, 150.23, 186, , 0.004304161
